local connected
0.00-1.00 463
1.00-2.00 448
2.00-3.00 452
3.00-4.00 439
4.00-5.00 453
5.00-6.00 441
6.00-7.00 440
7.00-8.00 435
8.00-9.00 445
9.00-10.00 443
10.00-11.00 443
11.00-12.00 440
12.00-13.00 443
13.00-14.00 442
14.00-15.00 440
15.00-16.00 447
16.00-17.00 437
17.00-18.00 434
18.00-19.00 436
19.00-20.00 440
20.00-21.00 447
21.00-22.00 439
22.00-23.00 425
23.00-24.00 436
24.00-25.00 432
25.00-26.00 431
26.00-27.00 442
27.00-28.00 451
28.00-29.00 436
29.00-30.00 436
30.00-31.00 447
31.00-32.00 440
32.00-33.00 437
33.00-34.00 436
34.00-35.00 436
35.00-36.00 443
36.00-37.00 445
37.00-38.00 439
38.00-39.00 440
39.00-40.00 439
40.00-41.00 439
41.00-42.00 434
42.00-43.00 440
43.00-44.00 433
44.00-45.00 440
45.00-46.00 440
46.00-47.00 434
47.00-48.00 425
48.00-49.00 436
49.00-50.00 438
50.00-51.00 434
51.00-52.00 439
52.00-53.00 436
53.00-54.00 432
54.00-55.00 435
55.00-56.00 435
56.00-57.00 435
57.00-58.00 437
58.00-59.00 438
59.00-60.00 435
60.00-61.00 443
61.00-62.00 445
62.00-63.00 436
63.00-64.00 434
64.00-65.00 440
65.00-66.00 442
66.00-67.00 440
67.00-68.00 435
68.00-69.00 435
69.00-70.00 439
70.00-71.00 446
71.00-72.00 435
72.00-73.00 430
73.00-74.00 436
74.00-75.00 433
75.00-76.00 432
76.00-77.00 439
77.00-78.00 435
78.00-79.00 429
79.00-80.00 434
80.00-81.00 444
81.00-82.00 442
82.00-83.00 436
83.00-84.00 437
84.00-85.00 444
85.00-86.00 432
86.00-87.00 430
87.00-88.00 434
88.00-89.00 427
89.00-90.00 435
90.00-91.00 434
91.00-92.00 435
92.00-93.00 427
93.00-94.00 423
94.00-95.00 427
95.00-96.00 432
96.00-97.00 434
97.00-98.00 438
98.00-99.00 433
99.00-100.00 429
0.00-100.00 438
0.00-100.00 437
